idTicket,idEmpresa,empresaNombre,idUsuario,fechaEmision,horaEmision,metodoPago,estacion,lineas,baseImponible,iva,total,moneda,tipoDocumento
T-D9E1C94DAEB6,EMP001,Transporte_01 S.L.,EMP001-U1,2025-05-24,13:19:23,Tarjeta de empresa,"{'id': '218', 'nombre': 'GOTETA', 'provincia': 'ALICANTE', 'municipio': 'ALICANTE/ALACANT', 'direccion': 'AVENIDA DENIA, 60', 'lat': 38.355389, 'lon': -0.472306, 'grupo': 'GOTETA', 'nifEmpresa': 'E65328718'}","[{'producto': 'Gasóleo A', 'litros': 25.31, 'precioUnitario': 1.415, 'importe': 35.81}]",29.6,6.21,35.81,EUR,Factura simplificada
T-AA369D2B46AB,EMP001,Transporte_01 S.L.,EMP001-U1,2025-01-30,21:41:50,Efectivo,"{'id': '4124', 'nombre': 'BALLENOIL', 'provincia': 'CÓRDOBA', 'municipio': 'PUENTE GENIL', 'direccion': 'CALLE LAUREL, 3', 'lat': 37.399306, 'lon': -4.762528, 'grupo': 'BALLENOIL', 'nifEmpresa': 'B65371171'}","[{'producto': 'Gasóleo A', 'litros': 46.96, 'precioUnitario': 1.445, 'importe': 67.86}]",56.08,11.78,67.86,EUR,Factura simplificada
T-13F8E3D39DD4,EMP001,Transporte_01 S.L.,EMP001-U1,2025-06-02,14:38:33,Tarjeta de empresa,"{'id': '2933', 'nombre': 'GRANAOIL', 'provincia': 'CÁCERES', 'municipio': 'MOHEDAS DE GRANADILLA', 'direccion': 'PASEO PASEO DEL CRUCE, 16', 'lat': 40.240528, 'lon': -6.192194, 'grupo': 'GRANAOIL', 'nifEmpresa': 'Y91669788'}","[{'producto': 'Gasóleo A', 'litros': 34.09, 'precioUnitario': 1.461, 'importe': 49.81}]",41.17,8.64,49.81,EUR,Factura simplificada
T-2FD2795A3D10,EMP001,Transporte_01 S.L.,EMP001-U1,2025-07-08,07:06:42,Tarjeta de empresa,"{'id': '7784', 'nombre': 'ROYMAGA PETROLEOS,SL', 'provincia': 'MURCIA', 'municipio': 'CARTAGENA', 'direccion': 'CARRETERA DEL ALBUJON KM. S/N', 'lat': 37.720417, 'lon': -1.021583, 'grupo': 'ROYMAGA PETROLEOS,SL', 'nifEmpresa': 'G18451468'}","[{'producto': 'Gasóleo A', 'litros': 42.17, 'precioUnitario': 1.412, 'importe': 59.54}]",49.21,10.33,59.54,EUR,Factura simplificada
T-B3EC02E433DA,EMP001,Transporte_01 S.L.,EMP001-U1,2025-07-29,04:41:07,Tarjeta de empresa,"{'id': '2729', 'nombre': 'BEROIL', 'provincia': 'BURGOS', 'municipio': 'BUNIEL', 'direccion': 'CARRETERA A 62 KM. 14', 'lat': 42.300722, 'lon': -3.835139, 'grupo': 'BEROIL', 'nifEmpresa': 'N8281489H'}","[{'producto': 'Gasóleo A', 'litros': 30.72, 'precioUnitario': 1.448, 'importe': 44.48}]",36.76,7.72,44.48,EUR,Factura simplificada
T-0EA633192A1E,EMP001,Transporte_01 S.L.,EMP001-U1,2025-04-07,00:51:07,Tarjeta de empresa,"{'id': '9967', 'nombre': 'GALP', 'provincia': 'SEVILLA', 'municipio': 'SEVILLA', 'direccion': 'AVENIDA MOLINI, 3', 'lat': 37.369361, 'lon': -5.988139, 'grupo': 'GALP', 'nifEmpresa': 'A28559573'}","[{'producto': 'Gasóleo A', 'litros': 34.53, 'precioUnitario': 1.456, 'importe': 50.28}]",41.55,8.73,50.28,EUR,Factura simplificada
T-3DD7A59DD5D1,EMP001,Transporte_01 S.L.,EMP001-U1,2025-05-12,12:49:57,Efectivo,"{'id': '3070', 'nombre': 'REPSOL', 'provincia': 'CÁDIZ', 'municipio': 'CÁDIZ', 'direccion': 'AVENIDA ALCALDE MANUEL DE LA PINTA, 22', 'lat': 36.5025, 'lon': -6.271111, 'grupo': 'REPSOL', 'nifEmpresa': 'A78374725'}","[{'producto': 'Gasóleo A', 'litros': 38.24, 'precioUnitario': 1.406, 'importe': 53.77}]",44.44,9.33,53.77,EUR,Factura simplificada
T-12106F7B73A5,EMP001,Transporte_01 S.L.,EMP001-U1,2025-07-16,14:03:40,Efectivo,"{'id': '2799', 'nombre': 'GALP', 'provincia': 'BURGOS', 'municipio': 'OQUILLAS', 'direccion': 'AUTOVIA A-2 KM. 176,6', 'lat': 41.824917, 'lon': -3.703972, 'grupo': 'GALP', 'nifEmpresa': 'A28559573'}","[{'producto': 'Gasóleo A', 'litros': 42.48, 'precioUnitario': 1.451, 'importe': 61.64}]",50.94,10.7,61.64,EUR,Factura simplificada
T-4A47786999CB,EMP001,Transporte_01 S.L.,EMP001-U1,2025-07-11,05:40:40,Tarjeta de empresa,"{'id': '2567', 'nombre': 'BP PLANAMAR', 'provincia': 'BARCELONA', 'municipio': 'VILASSAR DE MAR', 'direccion': 'CARRETERA NACIONAL II KM. 639,5', 'lat': 41.495722, 'lon': 2.379111, 'grupo': 'BP PLANAMAR', 'nifEmpresa': 'D54303912'}","[{'producto': 'Gasóleo A', 'litros': 37.5, 'precioUnitario': 1.414, 'importe': 53.03}]",43.83,9.2,53.03,EUR,Factura simplificada
T-531EBCE586EB,EMP001,Transporte_01 S.L.,EMP001-U1,2025-07-23,11:21:38,Tarjeta de empresa,"{'id': '7405', 'nombre': 'BP ES CARTAMA', 'provincia': 'MÁLAGA', 'municipio': 'CÁRTAMA', 'direccion': 'AUTOVIA A-357 KM. 57', 'lat': 36.720194, 'lon': -4.592056, 'grupo': 'BP ES CARTAMA', 'nifEmpresa': 'R8227824C'}","[{'producto': 'Gasóleo A', 'litros': 70.23, 'precioUnitario': 1.446, 'importe': 101.55}]",83.93,17.62,101.55,EUR,Factura simplificada
T-3800B1CF3F73,EMP001,Transporte_01 S.L.,EMP001-U1,2025-06-25,04:17:49,Tarjeta de empresa,"{'id': '10275', 'nombre': 'COPVILAR', 'provincia': 'TARRAGONA', 'municipio': 'VILA-RODONA', 'direccion': 'CARRETERA TP-2003 KM. 0,110', 'lat': 41.306611, 'lon': 1.354611, 'grupo': 'COPVILAR', 'nifEmpresa': 'S8346578A'}","[{'producto': 'Gasóleo A', 'litros': 53.69, 'precioUnitario': 1.402, 'importe': 75.27}]",62.21,13.06,75.27,EUR,Factura simplificada
T-6185A9134E55,EMP001,Transporte_01 S.L.,EMP001-U1,2025-02-14,10:00:41,Tarjeta de empresa,"{'id': '4925', 'nombre': 'PETROLIS', 'provincia': 'GIRONA', 'municipio': 'OLOT', 'direccion': 'AVENIDA EUROPA - PARCELA, 7', 'lat': 42.192861, 'lon': 2.482639, 'grupo': 'PETROLIS', 'nifEmpresa': 'R5098393A'}","[{'producto': 'Gasóleo A', 'litros': 45.58, 'precioUnitario': 1.458, 'importe': 66.46}]",54.93,11.53,66.46,EUR,Factura simplificada
T-0C204E54D830,EMP001,Transporte_01 S.L.,EMP001-U1,2025-05-01,15:40:50,Tarjeta de empresa,"{'id': '2361', 'nombre': 'EVOLUTION', 'provincia': 'BARCELONA', 'municipio': 'SANT FELIU DE LLOBREGAT', 'direccion': 'CALLE ARMENTERES, 62', 'lat': 41.376861, 'lon': 2.044806, 'grupo': 'EVOLUTION', 'nifEmpresa': 'U31051832'}","[{'producto': 'Gasóleo A', 'litros': 18.79, 'precioUnitario': 1.387, 'importe': 26.06}]",21.54,4.52,26.06,EUR,Factura simplificada
T-891BEC2F5FDF,EMP001,Transporte_01 S.L.,EMP001-U1,2025-06-28,12:09:19,Tarjeta de empresa,"{'id': '10969', 'nombre': 'CARBURANTS+DEL+CAMP+DE+LLUTXENT', 'provincia': 'VALENCIA / VALÈNCIA', 'municipio': 'LLUTXENT', 'direccion': 'CAMI DEL PLA, S/N', 'lat': 38.9405, 'lon': -0.360389, 'grupo': 'CARBURANTS+DEL+CAMP+DE+LLUTXENT', 'nifEmpresa': 'X29973765'}","[{'producto': 'Gasóleo A', 'litros': 36.65, 'precioUnitario': 1.424, 'importe': 52.19}]",43.13,9.06,52.19,EUR,Factura simplificada
T-0CAC3BDF4E60,EMP001,Transporte_01 S.L.,EMP001-U1,2025-04-10,15:47:34,Tarjeta de empresa,"{'id': '9955', 'nombre': 'BP', 'provincia': 'SEVILLA', 'municipio': 'SEVILLA', 'direccion': 'AVENIDA MANUEL SIUROT, 5', 'lat': 37.366806, 'lon': -5.984528, 'grupo': 'BP', 'nifEmpresa': 'A28011559'}","[{'producto': 'Gasóleo A', 'litros': 29.17, 'precioUnitario': 1.43, 'importe': 41.71}]",34.47,7.24,41.71,EUR,Factura simplificada
T-03AE57E393E1,EMP001,Transporte_01 S.L.,EMP001-U1,2025-04-27,14:45:46,Tarjeta de empresa,"{'id': '1417', 'nombre': 'NIEVES', 'provincia': 'BADAJOZ', 'municipio': 'MÉRIDA', 'direccion': 'CALLE POLIGONO INDUSTRIAL EL PRADO CL SUP-PA-01 B8., S/N', 'lat': 38.919111, 'lon': -6.37425, 'grupo': 'NIEVES', 'nifEmpresa': 'Q0106513E'}","[{'producto': 'Gasóleo A', 'litros': 54.59, 'precioUnitario': 1.43, 'importe': 78.06}]",64.51,13.55,78.06,EUR,Factura simplificada
T-A33C7AF99952,EMP001,Transporte_01 S.L.,EMP001-U1,2025-01-15,17:30:55,Tarjeta de empresa,"{'id': '3593', 'nombre': 'GMR', 'provincia': 'CASTELLÓN / CASTELLÓ', 'municipio': 'ONDA', 'direccion': 'CALLE MEJICO, 7', 'lat': 39.981361, 'lon': -0.156861, 'grupo': 'GMR', 'nifEmpresa': 'B62473178'}","[{'producto': 'Gasóleo A', 'litros': 37.02, 'precioUnitario': 1.432, 'importe': 53.01}]",43.81,9.2,53.01,EUR,Factura simplificada
T-8C75C1F202DB,EMP001,Transporte_01 S.L.,EMP001-U1,2025-03-24,09:31:34,Efectivo,"{'id': '522', 'nombre': 'BALLENOIL', 'provincia': 'ALICANTE', 'municipio': 'PETRER', 'direccion': 'CALLE PRESBITERO CONRADO POVEDA, 1', 'lat': 38.489028, 'lon': -0.783861, 'grupo': 'BALLENOIL', 'nifEmpresa': 'B65371171'}","[{'producto': 'Gasóleo A', 'litros': 16.95, 'precioUnitario': 1.449, 'importe': 24.56}]",20.3,4.26,24.56,EUR,Factura simplificada
T-0CDAA3265C8B,EMP001,Transporte_01 S.L.,EMP001-U1,2025-06-05,23:46:03,Tarjeta de empresa,"{'id': '1915', 'nombre': 'SPAROIL', 'provincia': 'BARCELONA', 'municipio': 'CANYELLES', 'direccion': 'CARRETERA VILAFRANCA KM. 45', 'lat': 41.280222, 'lon': 1.723639, 'grupo': 'SPAROIL', 'nifEmpresa': 'X01326776'}","[{'producto': 'Gasóleo A', 'litros': 45.06, 'precioUnitario': 1.418, 'importe': 63.9}]",52.81,11.09,63.9,EUR,Factura simplificada
T-916BA9B5943E,EMP001,Transporte_01 S.L.,EMP001-U1,2025-06-11,09:24:28,Tarjeta de empresa,"{'id': '6775', 'nombre': 'SHELL', 'provincia': 'MADRID', 'municipio': 'LOZOYUELA-NAVAS-SIETEIGLESIAS', 'direccion': 'CTRA. N-I km 64,650', 'lat': 40.906667, 'lon': -3.610167, 'grupo': 'SHELL', 'nifEmpresa': 'U26064741'}","[{'producto': 'Gasóleo A', 'litros': 28.11, 'precioUnitario': 1.445, 'importe': 40.62}]",33.57,7.05,40.62,EUR,Factura simplificada
T-947E8388D6BC,EMP001,Transporte_01 S.L.,EMP001-U1,2025-07-27,16:07:00,Efectivo,"{'id': '2341', 'nombre': 'ESCLATOIL', 'provincia': 'BARCELONA', 'municipio': 'SANT CELONI', 'direccion': 'CARRETERA C-35 KM. 56,1', 'lat': 41.687306, 'lon': 2.494722, 'grupo': 'ESCLATOIL', 'nifEmpresa': 'X72343098'}","[{'producto': 'Gasóleo A', 'litros': 25.64, 'precioUnitario': 1.388, 'importe': 35.59}]",29.41,6.18,35.59,EUR,Factura simplificada
T-6675DF97A415,EMP001,Transporte_01 S.L.,EMP001-U1,2025-07-25,19:50:05,Tarjeta de empresa,"{'id': '10365', 'nombre': 'REPSOL', 'provincia': 'TERUEL', 'municipio': 'RUBIELOS DE MORA', 'direccion': 'CR TE - 200, 16,4', 'lat': 40.19075, 'lon': -0.655917, 'grupo': 'REPSOL', 'nifEmpresa': 'A78374725'}","[{'producto': 'Gasóleo A', 'litros': 57.38, 'precioUnitario': 1.438, 'importe': 82.51}]",68.19,14.32,82.51,EUR,Factura simplificada
T-C83930CC8ABA,EMP001,Transporte_01 S.L.,EMP001-U1,2025-01-07,11:20:12,Tarjeta de empresa,"{'id': '7947', 'nombre': 'UTE ESTACION DE MURCIA', 'provincia': 'MURCIA', 'municipio': 'MURCIA', 'direccion': 'CALLE BOLOS  EN  MURCIA, 4', 'lat': 37.985667, 'lon': -1.139389, 'grupo': 'UTE ESTACION DE MURCIA', 'nifEmpresa': 'H88208129'}","[{'producto': 'Gasóleo A', 'litros': 23.13, 'precioUnitario': 1.424, 'importe': 32.94}]",27.22,5.72,32.94,EUR,Factura simplificada
T-1B87912FD3AB,EMP001,Transporte_01 S.L.,EMP001-U1,2025-03-06,04:35:08,Tarjeta de empresa,"{'id': '11273', 'nombre': ' E.S. LA TORRETA', 'provincia': 'VALENCIA / VALÈNCIA', 'municipio': 'VALENCIA', 'direccion': 'CALLE LLANO DE LA ZAIDIA, 6', 'lat': 39.483056, 'lon': -0.3785, 'grupo': ' E.S. LA TORRETA', 'nifEmpresa': 'V61939906'}","[{'producto': 'Gasóleo A', 'litros': 48.11, 'precioUnitario': 1.429, 'importe': 68.75}]",56.82,11.93,68.75,EUR,Factura simplificada
T-CC2A05AFC1D6,EMP001,Transporte_01 S.L.,EMP001-U1,2025-02-12,13:03:39,Tarjeta de empresa,"{'id': '11427', 'nombre': 'REPSOL', 'provincia': 'VALLADOLID', 'municipio': 'SERRADA', 'direccion': 'CARRETERA C A-610 KM. 26', 'lat': 41.461389, 'lon': -4.861028, 'grupo': 'REPSOL', 'nifEmpresa': 'A78374725'}","[{'producto': 'Gasóleo A', 'litros': 29.11, 'precioUnitario': 1.445, 'importe': 42.06}]",34.76,7.3,42.06,EUR,Factura simplificada
T-AC8EEE6C9C33,EMP001,Transporte_01 S.L.,EMP001-U1,2025-06-18,02:51:57,Tarjeta de empresa,"{'id': '4756', 'nombre': 'E.S. ZESTOA-AVIA', 'provincia': 'GIPUZKOA', 'municipio': 'ZESTOA', 'direccion': 'CARRETERA GI-631 KM. 5,00', 'lat': 43.241444, 'lon': -2.259444, 'grupo': 'E.S. ZESTOA-AVIA', 'nifEmpresa': 'N3534624F'}","[{'producto': 'Gasóleo A', 'litros': 31.36, 'precioUnitario': 1.475, 'importe': 46.26}]",38.23,8.03,46.26,EUR,Factura simplificada
T-5F3E02066F06,EMP001,Transporte_01 S.L.,EMP001-U1,2025-03-06,01:00:34,Efectivo,"{'id': '6777', 'nombre': 'CEPSA', 'provincia': 'MADRID', 'municipio': 'MADRID', 'direccion': 'CALLE SEGOVIA C/V A PASEO VIRGEN DEL PUERTO, S/N', 'lat': 40.413778, 'lon': -3.721472, 'grupo': 'CEPSA', 'nifEmpresa': 'A28003119'}","[{'producto': 'Gasóleo A', 'litros': 13.76, 'precioUnitario': 1.465, 'importe': 20.16}]",16.66,3.5,20.16,EUR,Factura simplificada
T-3C76C0510523,EMP001,Transporte_01 S.L.,EMP001-U1,2025-07-01,00:15:44,Tarjeta de empresa,"{'id': '2272', 'nombre': 'REPSOL', 'provincia': 'BARCELONA', 'municipio': 'ROCA DEL VALLÈS (LA)', 'direccion': 'CR C-1415, 17,4', 'lat': 41.596694, 'lon': 2.309139, 'grupo': 'REPSOL', 'nifEmpresa': 'A78374725'}","[{'producto': 'Gasóleo A', 'litros': 53.71, 'precioUnitario': 1.416, 'importe': 76.05}]",62.85,13.2,76.05,EUR,Factura simplificada
T-FB21FB3D38F4,EMP001,Transporte_01 S.L.,EMP001-U1,2025-04-17,08:58:57,Tarjeta de empresa,"{'id': '1018', 'nombre': 'PETROPRIX', 'provincia': 'ASTURIAS', 'municipio': 'GIJÓN', 'direccion': 'AVENIDA DE LOS CAMPONES, 2', 'lat': 43.535667, 'lon': -5.689361, 'grupo': 'PETROPRIX', 'nifEmpresa': 'B23709892'}","[{'producto': 'Gasóleo A', 'litros': 72.8, 'precioUnitario': 1.498, 'importe': 109.05}]",90.12,18.93,109.05,EUR,Factura simplificada
T-82C60968329F,EMP001,Transporte_01 S.L.,EMP001-U1,2025-04-15,16:00:10,Tarjeta de empresa,"{'id': '710', 'nombre': 'TRANSPORTES BEARCA S.L.', 'provincia': 'ALMERÍA', 'municipio': 'EJIDO (EL)', 'direccion': 'RAMBLA BERNAL, 19', 'lat': 36.797944, 'lon': -2.727306, 'grupo': 'TRANSPORTES BEARCA S.L.', 'nifEmpresa': 'Z42513549'}","[{'producto': 'Gasóleo A', 'litros': 53.2, 'precioUnitario': 1.396, 'importe': 74.27}]",61.38,12.89,74.27,EUR,Factura simplificada
T-7D337D0C9962,EMP001,Transporte_01 S.L.,EMP001-U1,2025-06-24,18:54:53,Tarjeta de empresa,"{'id': '2464', 'nombre': 'PLENERGY', 'provincia': 'BARCELONA', 'municipio': 'TERRASSA', 'direccion': 'AVENIDA DEL VALLÈS, 720 B', 'lat': 41.580278, 'lon': 2.028583, 'grupo': 'PLENERGY', 'nifEmpresa': 'C98084122'}","[{'producto': 'Gasóleo A', 'litros': 20.81, 'precioUnitario': 1.408, 'importe': 29.3}]",24.21,5.09,29.3,EUR,Factura simplificada
T-90B91C2AC219,EMP001,Transporte_01 S.L.,EMP001-U1,2025-03-16,13:33:29,Efectivo,"{'id': '5407', 'nombre': 'REPSOL', 'provincia': 'GUADALAJARA', 'municipio': 'YEBRA', 'direccion': 'CALLE CONDESA DE SAN RAFAEL, 57', 'lat': 40.358389, 'lon': -2.970472, 'grupo': 'REPSOL', 'nifEmpresa': 'A78374725'}","[{'producto': 'Gasóleo A', 'litros': 21.9, 'precioUnitario': 1.471, 'importe': 32.21}]",26.62,5.59,32.21,EUR,Factura simplificada
T-551C42964DBC,EMP001,Transporte_01 S.L.,EMP001-U1,2025-04-20,10:54:05,Tarjeta de empresa,"{'id': '561', 'nombre': 'REPSOL', 'provincia': 'ALICANTE', 'municipio': 'SAN VICENTE DEL RASPEIG/SANT VICENT DEL RASPEIG', 'direccion': 'CARRETERA AGOST KM. 68', 'lat': 38.401417, 'lon': -0.534111, 'grupo': 'REPSOL', 'nifEmpresa': 'A78374725'}","[{'producto': 'Gasóleo A', 'litros': 34.91, 'precioUnitario': 1.444, 'importe': 50.41}]",41.66,8.75,50.41,EUR,Factura simplificada
T-91762062ED57,EMP001,Transporte_01 S.L.,EMP001-U1,2025-07-12,07:45:56,Tarjeta de empresa,"{'id': '8563', 'nombre': 'PETROPRIX', 'provincia': 'PALMAS (LAS)', 'municipio': 'AGÜIMES', 'direccion': 'AVENIDA DEL SURESTE, 1', 'lat': 27.86975, 'lon': -15.430111, 'grupo': 'PETROPRIX', 'nifEmpresa': 'B23709892'}","[{'producto': 'Gasóleo A', 'litros': 39.84, 'precioUnitario': 1.438, 'importe': 57.29}]",47.35,9.94,57.29,EUR,Factura simplificada
T-5469BA45C9CF,EMP001,Transporte_01 S.L.,EMP001-U1,2025-03-14,11:30:59,Tarjeta de empresa,"{'id': '3614', 'nombre': 'COOP. Nª Sª DE LA ASUNCION DE SONEJA', 'provincia': 'CASTELLÓN / CASTELLÓ', 'municipio': 'SONEJA', 'direccion': 'CARRETERA TERUEL, S/N KM. 0', 'lat': 39.813056, 'lon': -0.430833, 'grupo': 'COOP. Nª Sª DE LA ASUNCION DE SONEJA', 'nifEmpresa': 'N8740164B'}","[{'producto': 'Gasóleo A', 'litros': 42.5, 'precioUnitario': 1.441, 'importe': 61.24}]",50.61,10.63,61.24,EUR,Factura simplificada
T-AB83DA7F4718,EMP001,Transporte_01 S.L.,EMP001-U1,2025-06-02,16:10:56,Tarjeta de empresa,"{'id': '5436', 'nombre': 'CEPSA', 'provincia': 'HUELVA', 'municipio': 'BOLLULLOS PAR DEL CONDADO', 'direccion': 'AVENIDA 28 DE FEBRERO, 167', 'lat': 37.348222, 'lon': -6.540361, 'grupo': 'CEPSA', 'nifEmpresa': 'A28003119'}","[{'producto': 'Gasóleo A', 'litros': 73.79, 'precioUnitario': 1.455, 'importe': 107.36}]",88.73,18.63,107.36,EUR,Factura simplificada
T-DB34831FAB0E,EMP001,Transporte_01 S.L.,EMP001-U1,2025-01-15,20:07:27,Efectivo,"{'id': '1660', 'nombre': 'REPSOL', 'provincia': 'BALEARS (ILLES)', 'municipio': 'PALMA DE MALLORCA', 'direccion': 'CAMI CAMI DE SON RAPINYA ESQ.CAMI DEL REIS, S/N', 'lat': 39.584944, 'lon': 2.618722, 'grupo': 'REPSOL', 'nifEmpresa': 'A78374725'}","[{'producto': 'Gasóleo A', 'litros': 30.26, 'precioUnitario': 1.418, 'importe': 42.91}]",35.46,7.45,42.91,EUR,Factura simplificada
T-C12B42B9366A,EMP001,Transporte_01 S.L.,EMP001-U1,2025-02-22,00:29:01,Tarjeta de empresa,"{'id': '6662', 'nombre': 'REPSOL', 'provincia': 'MADRID', 'municipio': 'FUENLABRADA', 'direccion': 'CARRETERA M-506 KM. 21,900', 'lat': 40.265972, 'lon': -3.742694, 'grupo': 'REPSOL', 'nifEmpresa': 'A78374725'}","[{'producto': 'Gasóleo A', 'litros': 60.78, 'precioUnitario': 1.462, 'importe': 88.86}]",73.44,15.42,88.86,EUR,Factura simplificada
T-0269798BD716,EMP001,Transporte_01 S.L.,EMP001-U1,2025-04-18,15:29:32,Tarjeta de empresa,"{'id': '1434', 'nombre': 'IBERDOEX', 'provincia': 'BADAJOZ', 'municipio': 'MONTEMOLÍN', 'direccion': 'CARRETERA CASTUERA KM. 194', 'lat': 38.112806, 'lon': -6.150583, 'grupo': 'IBERDOEX', 'nifEmpresa': 'D12805982'}","[{'producto': 'Gasóleo A', 'litros': 28.5, 'precioUnitario': 1.468, 'importe': 41.84}]",34.58,7.26,41.84,EUR,Factura simplificada
