tipoDocumento,concesionaria,autopista,fechaHora,categoriaVehiculo,importe,ivaIncluido,formaPago,referencia,idEmpresa,empresaNombre,idUsuario,provincia,tramo,entrada,salida
Peaje,Estatal,AP-7,2025-01-12 02:20:00,B,"3,70 €",IVA incluido,Tarjeta crédito,PASO-B12D997B,EMP001,Transporte_01 S.L.,EMP001-U2,ALICANTE,Marbella – Estepona,Marbella,Estepona
Peaje,Estatal,AP-7,2025-06-08 21:44:04,B,"2,75 €",IVA incluido,Tarjeta crédito,PASO-1FF964C9,EMP001,Transporte_01 S.L.,EMP001-U2,BARCELONA,Troncal de Los Montesinos – ,Troncal de Los Montesinos,
Peaje,Estatal,AP-7,2025-01-29 22:03:15,B,"7,65 €",IVA incluido,Efectivo,PASO-DEAAA21A,EMP001,Transporte_01 S.L.,EMP001-U2,ALICANTE,Málaga – San Pedro de Alcantara,Málaga,San Pedro de Alcantara
Peaje,Estatal,AP-7,2025-07-12 00:05:00,B,"3,70 €",IVA incluido,Efectivo,PASO-F8A7D96F,EMP001,Transporte_01 S.L.,EMP001-U2,CÁDIZ,Marbella – Estepona,Marbella,Estepona
Peaje,Estatal,AP-7,2025-01-14 12:12:53,B,"2,75 €",IVA incluido,Tarjeta crédito,PASO-B6EA462B,EMP001,Transporte_01 S.L.,EMP001-U2,BARCELONA,754 Carretera San Miguel Benijofar – 763 La Zenia Urbanizaciones,754 Carretera San Miguel Benijofar,763 La Zenia Urbanizaciones
Peaje,Estatal,AP-7,2025-05-19 04:54:13,B,"2,40 €",IVA incluido,Tarjeta crédito,PASO-5BE820C3,EMP001,Transporte_01 S.L.,EMP001-U2,ALICANTE,Estepona – Guadiaro,Estepona,Guadiaro
Peaje,Estatal,AP-61,2025-06-16 15:12:48,B,"2,95 €",IVA incluido,Tarjeta crédito,PASO-4FF9997F,EMP001,Transporte_01 S.L.,EMP001-U2,MADRID,San Rafael – Segovia,San Rafael,Segovia
Peaje,Estatal,AP-61,2025-01-21 07:49:28,B,"1,40 €",IVA incluido,Efectivo,PASO-D683FC52,EMP001,Transporte_01 S.L.,EMP001-U2,MADRID,Conexión AP-6 (El Espinar) – Ortigosa,Conexión AP-6 (El Espinar),Ortigosa
Peaje,Estatal,AP-66,2025-07-23 11:04:19,B,"9,95 €",IVA incluido,Efectivo,PASO-F001151A,EMP001,Transporte_01 S.L.,EMP001-U2,LEÓN,Oblanca – León,Oblanca,León
Peaje,Estatal,AP-7,2025-07-24 10:42:45,B,"0,00 €",IVA incluido,Tarjeta crédito,PASO-42F451ED,EMP001,Transporte_01 S.L.,EMP001-U2,BARCELONA,754 Carretera San Miguel Benijofar – 758 San Miguel de Salinas-Torrevieja,754 Carretera San Miguel Benijofar,758 San Miguel de Salinas-Torrevieja
Peaje,Estatal,AP-66,2025-03-10 05:55:25,B,"4,15 €",IVA incluido,Tarjeta crédito,PASO-8B9189CC,EMP001,Transporte_01 S.L.,EMP001-U2,LEÓN,Oblanca – La Magdalena,Oblanca,La Magdalena
Peaje,Estatal,AP-7,2025-01-23 18:46:44,B,"7,65 €",IVA incluido,Tarjeta crédito,PASO-D506C6CE,EMP001,Transporte_01 S.L.,EMP001-U2,VALENCIA / VALÈNCIA,Málaga – San Pedro de Alcantara,Málaga,San Pedro de Alcantara
Peaje,Estatal,AP-61,2025-06-30 15:44:16,B,"1,40 €",IVA incluido,Tarjeta crédito,PASO-AC049AB1,EMP001,Transporte_01 S.L.,EMP001-U2,MADRID,Conexión AP-6 (El Espinar) – Ortigosa,Conexión AP-6 (El Espinar),Ortigosa
Peaje,Estatal,AP-7,2025-06-04 07:34:56,B,"5,50 €",IVA incluido,Tarjeta crédito,PASO-87BBC4DB,EMP001,Transporte_01 S.L.,EMP001-U2,VALENCIA / VALÈNCIA,763 La Zenia Urbanizaciones – 784 San Javier (Sur)-Acceso aeropuerto,763 La Zenia Urbanizaciones,784 San Javier (Sur)-Acceso aeropuerto
Peaje,Estatal,AP-53,2025-04-20 23:55:00,B,"5,15 €",IVA incluido,Tarjeta crédito,PASO-23FAB536,EMP001,Transporte_01 S.L.,EMP001-U2,PONTEVEDRA,Ribadulla – Lalín Este,Ribadulla,Lalín Este
Peaje,Estatal,AP-7,2025-02-14 08:40:06,B,"2,75 €",IVA incluido,Tarjeta crédito,PASO-417FB9CA,EMP001,Transporte_01 S.L.,EMP001-U2,MÁLAGA,754 Carretera San Miguel Benijofar – 770 El Pilar de la Horadada (Norte),754 Carretera San Miguel Benijofar,770 El Pilar de la Horadada (Norte)
Peaje,Estatal,AP-61,2025-07-25 04:26:37,B,"0,80 €",IVA incluido,Efectivo,PASO-2F8C8BE7,EMP001,Transporte_01 S.L.,EMP001-U3,MADRID,Conexión AP-6 (El Espinar) – Otero de H.,Conexión AP-6 (El Espinar),Otero de H.
Peaje,Estatal,AP-7,2025-04-06 00:05:00,B,"0,00 €",IVA incluido,Tarjeta crédito,PASO-58553A95,EMP001,Transporte_01 S.L.,EMP001-U3,BARCELONA,754 Carretera San Miguel Benijofar – 758 San Miguel de Salinas-Torrevieja,754 Carretera San Miguel Benijofar,758 San Miguel de Salinas-Torrevieja
Peaje,Estatal,AP-9,2025-06-04 03:39:19,B,"1,70 €",IVA incluido,Tarjeta crédito,PASO-AD39EE0E,EMP001,Transporte_01 S.L.,EMP001-U3,PONTEVEDRA,Curro – Pontevedra,Curro,Pontevedra
Peaje,Estatal,AP-7,2025-02-17 02:21:02,B,"2,75 €",IVA incluido,Tarjeta crédito,PASO-91F2B431,EMP001,Transporte_01 S.L.,EMP001-U3,BARCELONA,Troncal de La Zenia – ,Troncal de La Zenia,
Peaje,Estatal,AP-61,2025-04-22 20:15:59,B,"2,15 €",IVA incluido,Tarjeta crédito,PASO-B8EE58F2,EMP001,Transporte_01 S.L.,EMP001-U3,SEGOVIA,Otero de Herreros – Segovia,Otero de Herreros,Segovia
Peaje,Estatal,AP-6,2025-07-21 09:21:31,B,"15,15 €",IVA incluido,Tarjeta crédito,PASO-793ADA9B,EMP001,Transporte_01 S.L.,EMP001-U3,MADRID,Villalba – Adanero,Villalba,Adanero
Peaje,Estatal,AP-61,2025-05-10 14:37:58,B,"2,15 €",IVA incluido,Tarjeta crédito,PASO-3374A72E,EMP001,Transporte_01 S.L.,EMP001-U3,MADRID,Otero de Herreros – Hontoria,Otero de Herreros,Hontoria
Peaje,Estatal,AP-7,2025-06-28 17:00:18,B,"2,75 €",IVA incluido,Tarjeta crédito,PASO-8B7ABEE1,EMP001,Transporte_01 S.L.,EMP001-U3,CÁDIZ,784 San Javier (Sur)-Acceso aeropuerto – 786 Los Alcazares (Norte),784 San Javier (Sur)-Acceso aeropuerto,786 Los Alcazares (Norte)
Peaje,Estatal,AP-7,2025-02-27 04:01:56,B,"5,50 €",IVA incluido,Tarjeta crédito,PASO-3DE1E754,EMP001,Transporte_01 S.L.,EMP001-U3,ALICANTE,770 El Pilar de la Horadada (Norte) – 790 Los Alcazares (Centro)-Torre Pacheco,770 El Pilar de la Horadada (Norte),790 Los Alcazares (Centro)-Torre Pacheco
Peaje,Estatal,AP-61,2025-06-10 02:54:33,B,"0,90 €",IVA incluido,Efectivo,PASO-4ED25147,EMP001,Transporte_01 S.L.,EMP001-U3,MADRID,San Rafael – Otero de Herreros,San Rafael,Otero de Herreros
Peaje,Estatal,AP-6,2025-04-10 16:26:03,B,"4,50 €",IVA incluido,Tarjeta crédito,PASO-6664816E,EMP001,Transporte_01 S.L.,EMP001-U3,MADRID,Villacastín – Adanero,Villacastín,Adanero
Peaje,Estatal,AP-9,2025-04-14 18:54:36,B,"1,10 €",IVA incluido,Efectivo,PASO-6990C57B,EMP001,Transporte_01 S.L.,EMP001-U3,PONTEVEDRA,Fene – Cabanas,Fene,Cabanas
Peaje,Estatal,AP-61,2025-01-11 22:07:28,B,"1,55 €",IVA incluido,Tarjeta crédito,PASO-A06F7865,EMP001,Transporte_01 S.L.,EMP001-U3,MADRID,Ortigosa del Monte – Segovia,Ortigosa del Monte,Segovia
Peaje,Estatal,AP-7,2025-04-15 00:05:00,B,"2,75 €",IVA incluido,Tarjeta crédito,PASO-DEFAE154,EMP001,Transporte_01 S.L.,EMP001-U3,ALICANTE,763 La Zenia Urbanizaciones – 784 San Javier (Sur)-Acceso aeropuerto,763 La Zenia Urbanizaciones,784 San Javier (Sur)-Acceso aeropuerto
Peaje,Estatal,AP-7,2025-06-14 13:13:08,B,"2,75 €",IVA incluido,Tarjeta crédito,PASO-4DF6F768,EMP001,Transporte_01 S.L.,EMP001-U3,CASTELLÓN / CASTELLÓ,763 La Zenia Urbanizaciones – 782 Balsicas,763 La Zenia Urbanizaciones,782 Balsicas
Peaje,Estatal,AP-7,2025-05-01 09:08:23,B,"2,75 €",IVA incluido,Tarjeta crédito,PASO-FC9A580A,EMP001,Transporte_01 S.L.,EMP001-U3,BARCELONA,754 Carretera San Miguel Benijofar – 763 La Zenia Urbanizaciones,754 Carretera San Miguel Benijofar,763 La Zenia Urbanizaciones
Peaje,Estatal,AP-7,2025-01-31 12:32:25,B,"2,75 €",IVA incluido,Efectivo,PASO-A9348807,EMP001,Transporte_01 S.L.,EMP001-U3,ALICANTE,763 La Zenia Urbanizaciones – 768 Campoamor-Urbanizaciones,763 La Zenia Urbanizaciones,768 Campoamor-Urbanizaciones
Peaje,Estatal,AP-61,2025-01-07 13:55:36,B,"2,95 €",IVA incluido,Tarjeta crédito,PASO-7C52258D,EMP001,Transporte_01 S.L.,EMP001-U3,MADRID,San Rafael – El Hontoria,San Rafael,El Hontoria
Peaje,Estatal,AP-7,2025-01-06 02:56:46,B,"1,15 €",IVA incluido,Tarjeta crédito,PASO-6413A699,EMP001,Transporte_01 S.L.,EMP001-U3,GIRONA,Manilva – Guadiaro,Manilva,Guadiaro
Peaje,Estatal,AP-6,2025-03-21 08:54:48,B,"8,75 €",IVA incluido,Tarjeta crédito,PASO-C2D9FD56,EMP001,Transporte_01 S.L.,EMP001-U4,MADRID,San Rafael – Adanero,San Rafael,Adanero
Peaje,Estatal,AP-7,2025-01-08 19:35:39,B,"5,50 €",IVA incluido,Tarjeta crédito,PASO-DFA89C1B,EMP001,Transporte_01 S.L.,EMP001-U4,BARCELONA,733 Catral-Albatera – 763 La Zenia Urbanizaciones,733 Catral-Albatera,763 La Zenia Urbanizaciones
Peaje,Estatal,AP-7,2025-01-07 04:19:28,B,"2,75 €",IVA incluido,Tarjeta crédito,PASO-C2ED230A,EMP001,Transporte_01 S.L.,EMP001-U4,VALENCIA / VALÈNCIA,763 La Zenia Urbanizaciones – 797 Torre del Negro,763 La Zenia Urbanizaciones,797 Torre del Negro
Peaje,Estatal,AP-7,2025-06-19 16:37:37,B,"2,75 €",IVA incluido,Tarjeta crédito,PASO-AE1D54D9,EMP001,Transporte_01 S.L.,EMP001-U4,BARCELONA,754 Carretera San Miguel Benijofar – 786 Los Alcazares (Norte),754 Carretera San Miguel Benijofar,786 Los Alcazares (Norte)
Peaje,Estatal,AP-7,2025-03-01 21:15:31,B,"9,20 €",IVA incluido,Tarjeta crédito,PASO-E74C02EE,EMP001,Transporte_01 S.L.,EMP001-U4,CÁDIZ,Málaga – Estepona,Málaga,Estepona
Peaje,Estatal,AP-61,2025-05-25 02:20:07,B,"1,55 €",IVA incluido,Tarjeta crédito,PASO-176152F6,EMP001,Transporte_01 S.L.,EMP001-U4,MADRID,Ortigosa del Monte – Segovia,Ortigosa del Monte,Segovia
Peaje,Estatal,AP-7,2025-03-10 16:11:17,B,"5,50 €",IVA incluido,Tarjeta crédito,PASO-C1F319E8,EMP001,Transporte_01 S.L.,EMP001-U4,VALENCIA / VALÈNCIA,751 Los Montesinos – 777 El Mirador-Colonia Ruiz de Alda,751 Los Montesinos,777 El Mirador-Colonia Ruiz de Alda
Peaje,Estatal,AP-7,2025-07-08 04:05:05,B,"2,75 €",IVA incluido,Tarjeta crédito,PASO-87EADE09,EMP001,Transporte_01 S.L.,EMP001-U4,BARCELONA,754 Carretera San Miguel Benijofar – 786 Los Alcazares (Norte),754 Carretera San Miguel Benijofar,786 Los Alcazares (Norte)
Peaje,Estatal,AP-61,2025-05-29 13:57:35,B,"0,80 €",IVA incluido,Tarjeta crédito,PASO-8113D9A6,EMP001,Transporte_01 S.L.,EMP001-U4,MADRID,Conexión AP-6 (El Espinar) – Otero de H.,Conexión AP-6 (El Espinar),Otero de H.
Peaje,Estatal,AP-7,2025-05-15 08:56:16,B,"2,75 €",IVA incluido,Tarjeta crédito,PASO-5FC4C62C,EMP001,Transporte_01 S.L.,EMP001-U4,VALENCIA / VALÈNCIA,754 Carretera San Miguel Benijofar – 770 El Pilar de la Horadada (Norte),754 Carretera San Miguel Benijofar,770 El Pilar de la Horadada (Norte)
Peaje,Estatal,AP-61,2025-05-11 03:33:02,B,"1,55 €",IVA incluido,Tarjeta crédito,PASO-17D9E937,EMP001,Transporte_01 S.L.,EMP001-U4,MADRID,Ortigosa del Monte – Hontoria,Ortigosa del Monte,Hontoria
Peaje,Estatal,AP-7,2025-02-11 17:16:54,B,"2,75 €",IVA incluido,Tarjeta crédito,PASO-A8A45DB4,EMP001,Transporte_01 S.L.,EMP001-U4,TARRAGONA,754 Carretera San Miguel Benijofar – 797 Torre del Negro,754 Carretera San Miguel Benijofar,797 Torre del Negro
Peaje,Estatal,AP-61,2025-06-14 11:23:05,B,"2,85 €",IVA incluido,Tarjeta crédito,PASO-DB5D6864,EMP001,Transporte_01 S.L.,EMP001-U4,SEGOVIA,Conexión AP-6 (El Espinar) – Segovia,Conexión AP-6 (El Espinar),Segovia
Peaje,Estatal,AP-7,2025-03-11 21:39:00,B,"2,75 €",IVA incluido,Tarjeta crédito,PASO-296115A7,EMP001,Transporte_01 S.L.,EMP001-U4,BARCELONA,754 Carretera San Miguel Benijofar – 763 La Zenia Urbanizaciones,754 Carretera San Miguel Benijofar,763 La Zenia Urbanizaciones
Peaje,Estatal,AP-7,2025-04-04 02:06:54,B,"2,75 €",IVA incluido,Efectivo,PASO-F304BA21,EMP001,Transporte_01 S.L.,EMP001-U4,MÁLAGA,754 Carretera San Miguel Benijofar – 768 Campoamor-Urbanizaciones,754 Carretera San Miguel Benijofar,768 Campoamor-Urbanizaciones
Peaje,Estatal,AP-7,2025-03-06 02:32:31,B,"0,00 €",IVA incluido,Tarjeta crédito,PASO-F6DC9B7D,EMP001,Transporte_01 S.L.,EMP001-U4,CÁDIZ,754 Carretera San Miguel Benijofar – 758 San Miguel de Salinas-Torrevieja,754 Carretera San Miguel Benijofar,758 San Miguel de Salinas-Torrevieja
Peaje,Estatal,AP-7,2025-01-02 06:45:06,B,"2,75 €",IVA incluido,Tarjeta crédito,PASO-0204CDAD,EMP001,Transporte_01 S.L.,EMP001-U4,GIRONA,754 Carretera San Miguel Benijofar – 780 San Javier (Norte)-Sucina,754 Carretera San Miguel Benijofar,780 San Javier (Norte)-Sucina
Peaje,Estatal,AP-7,2025-05-29 19:09:30,B,"2,75 €",IVA incluido,Tarjeta crédito,PASO-EFB86F76,EMP001,Transporte_01 S.L.,EMP001-U4,BARCELONA,763 La Zenia Urbanizaciones – 800 Los Beatos-El Algar,763 La Zenia Urbanizaciones,800 Los Beatos-El Algar
Peaje,Estatal,AP-7,2025-06-23 13:50:11,B,"2,75 €",IVA incluido,Tarjeta crédito,PASO-3EB3715E,EMP001,Transporte_01 S.L.,EMP001-U4,CASTELLÓN / CASTELLÓ,758 San Miguel de Salinas-Torrevieja – 763 La Zenia Urbanizaciones,758 San Miguel de Salinas-Torrevieja,763 La Zenia Urbanizaciones
Peaje,Estatal,AP-7,2025-06-08 00:05:00,B,"2,40 €",IVA incluido,Tarjeta crédito,PASO-282DCB7E,EMP001,Transporte_01 S.L.,EMP001-U4,MÁLAGA,Estepona – Guadiaro,Estepona,Guadiaro
Peaje,Estatal,AP-7,2025-03-16 05:49:14,B,"1,15 €",IVA incluido,Tarjeta crédito,PASO-DF87CFEA,EMP001,Transporte_01 S.L.,EMP001-U4,ALICANTE,Acceso de Manilva – ,Acceso de Manilva,
Peaje,Estatal,AP-7,2025-05-20 18:54:14,B,"2,75 €",IVA incluido,Tarjeta crédito,PASO-F0B4B6C6,EMP001,Transporte_01 S.L.,EMP001-U4,ALICANTE,763 La Zenia Urbanizaciones – 790 Los Alcazares (Centro)-Torre Pacheco,763 La Zenia Urbanizaciones,790 Los Alcazares (Centro)-Torre Pacheco
Peaje,Estatal,AP-7,2025-03-31 23:55:00,B,"5,50 €",IVA incluido,Tarjeta crédito,PASO-E60DE745,EMP001,Transporte_01 S.L.,EMP001-U4,TARRAGONA,745 CV90-Torrevieja – 775 Los Tárragas,745 CV90-Torrevieja,775 Los Tárragas
Peaje,Estatal,AP-7,2025-07-19 19:42:26,B,"2,75 €",IVA incluido,Tarjeta crédito,PASO-4E9188B9,EMP001,Transporte_01 S.L.,EMP001-U5,GIRONA,763 La Zenia Urbanizaciones – 777 El Mirador-Colonia Ruiz de Alda,763 La Zenia Urbanizaciones,777 El Mirador-Colonia Ruiz de Alda
Peaje,Estatal,AP-66,2025-02-16 02:55:05,B,"6,10 €",IVA incluido,Tarjeta crédito,PASO-2D0E1618,EMP001,Transporte_01 S.L.,EMP001-U5,ASTURIAS,La Magdalena – León,La Magdalena,León
Peaje,Estatal,AP-61,2025-03-13 13:08:36,B,"0,90 €",IVA incluido,Tarjeta crédito,PASO-B659574F,EMP001,Transporte_01 S.L.,EMP001-U5,MADRID,San Rafael – Otero de Herreros,San Rafael,Otero de Herreros
Peaje,Estatal,AP-7,2025-04-06 07:44:32,B,"2,75 €",IVA incluido,Tarjeta crédito,PASO-A5D66EA7,EMP001,Transporte_01 S.L.,EMP001-U5,ALICANTE,784 San Javier (Sur)-Acceso aeropuerto – 786 Los Alcazares (Norte),784 San Javier (Sur)-Acceso aeropuerto,786 Los Alcazares (Norte)
Peaje,Estatal,AP-7,2025-01-21 08:51:06,B,"3,70 €",IVA incluido,Tarjeta crédito,PASO-1DAA1535,EMP001,Transporte_01 S.L.,EMP001-U5,VALENCIA / VALÈNCIA,Troncal de San Pedro de Alcantara – ,Troncal de San Pedro de Alcantara,
Peaje,Estatal,AP-61,2025-01-27 22:51:47,B,"2,15 €",IVA incluido,Tarjeta crédito,PASO-8E858155,EMP001,Transporte_01 S.L.,EMP001-U5,MADRID,Otero de Herreros – Hontoria,Otero de Herreros,Hontoria
